Code,Average Income year thousands crowns,Population
0114,283.9,46786
0115,312.2,34090
0117,337.2,45574
0120,320.0,45000
0123,272.8,79990
0125,372.0,28690
0126,277.8,112848
0127,231.8,94606
0128,288.4,16750
0136,260.2,92095
0138,303.7,48333
0139,268.0,29346
0140,300.7,11014
0160,377.6,71874
0162,662.9,32857
0163,334.1,73857
0180,342.9,974073
0181,239.0,98979
0182,376.0,105189
0183,290.9,52414
0184,308.8,82429
0186,481.6,48123
0187,356.1,12003
0188,261.9,62622
0191,261.5,48964
0192,259.6,28575
0305,281.5,21934
0319,228.9,9457
0330,307.0,18835
0331,232.7,14047
0360,232.8,21136
0380,269.1,230767
0381,262.3,45287
0382,251.8,22250
0428,226.2,9111
0461,257.7,11365
0480,258.9,56591
0481,235.9,11983
0482,221.6,16585
0483,234.5,34755
0484,239.3,106859
0486,278.8,36544
0488,307.0,13747
0509,231.3,5337
0512,234.7,3747
0513,243.2,9940
0560,242.2,5476
0561,233.5,11503
0562,235.8,21912
0563,217.3,7873
0580,265.4,163051
0581,264.1,143171
0582,277.4,14626
0583,239.9,43673
0584,254.7,7428
0586,246.5,27758
0604,242.5,6848
0617,259.6,9712
0642,241.1,7290
0643,280.5,12433
0662,249.6,29963
0665,253.6,14275
0680,265.5,141081
0682,238.5,31538
0683,260.2,34560
0684,232.3,11677
0685,245.2,27466
0686,244.2,17753
0687,233.5,19003
0760,232.1,9588
0761,218.1,8733
0763,229.9,12393
0764,240.3,20134
0765,260.9,17651
0767,229.3,10320
0780,305.4,94129
0781,238.7,28521
0821,211.8,5921
0834,230.6,7125
0840,258.8,15249
0860,216.7,14224
0861,237.1,13430
0862,224.9,9445
0880,255.5,69467
0881,222.1,20318
0882,251.0,27102
0883,236.0,36679
0884,235.5,15647
0885,238.2,10839
0980,238.5,59686
1060,227.9,13426
1080,247.2,66622
1081,225.5,29633
1082,243.3,32473
1083,241.2,17452
1214,242.7,14268
1230,282.2,25396
1231,232.7,19112
1233,354.3,36628
1256,224.2,15007
1257,228.6,10280
1260,221.0,15715
1261,300.0,31705
1262,357.2,24834
1263,272.4,22229
1264,246.3,15889
1265,242.7,19226
1266,236.3,15631
1267,249.5,16713
1270,228.7,13617
1272,230.8,12870
1273,232.4,13208
1275,217.2,7492
1276,225.3,17756
1277,225.7,15940
1278,311.5,15128
1280,239.3,344166
1281,269.8,124935
1282,236.9,46090
1283,259.1,147734
1284,293.7,26942
1285,244.2,33793
1286,271.5,30541
1287,250.0,45440
1290,245.3,85747
1291,248.4,19174
1292,269.9,42476
1293,236.8,52145
1315,230.2,10815
1380,260.1,102767
1381,248.3,25903
1382,255.0,45367
1383,278.0,64601
1384,320.8,84395
1401,307.6,37977
1402,298.6,39289
1407,295.1,12916
1415,286.8,26777
1419,288.2,16016
1421,253.8,15218
1427,296.7,9061
1430,225.3,10513
1435,243.2,12841
1438,207.6,4813
1439,222.4,6637
1440,264.2,31402
1441,305.9,42568
1442,246.4,11810
1443,277.7,9495
1444,262.6,5693
1445,245.8,5654
1446,235.5,6940
1447,214.2,5280
1452,244.8,11936
1460,210.6,9750
1461,215.2,9310
1462,252.0,14109
1463,248.4,34754
